107;Alexandre Otávio Thiago Vieira;56;728.893.576-00;18.977.936-6;02/02/1967;Masculino;Aquário;Clarice Maya Isabella;Renato Breno Nicolas Vieira;alexandre.otavio.vieira@3dmaker.com.br;MhRdBdnjNq;58088-700;Rua Antônio Gouveia Henrique;912;Oitizeiro;João Pessoa;PB;(83) 2584-2084;(83) 98477-7164;1.64;95.0;A+;azul;
317;Alexandre Otávio Thiago Vieira;56;728.893.576-00;18.977.936-6;02/02/1967;Masculino;Aquário;Clarice Maya Isabella;Renato Breno Nicolas Vieira;alexandre.otavio.vieira@3dmaker.com.br;MhRdBdnjNq;58088-700;Rua Antônio Gouveia Henrique;912;Oitizeiro;João Pessoa;PB;(83) 2584-2084;(83) 98477-7164;1.64;95.0;A+;azul;
527;Alexandre Otávio Thiago Vieira;56;728.893.576-00;18.977.936-6;02/02/1967;Masculino;Aquário;Clarice Maya Isabella;Renato Breno Nicolas Vieira;alexandre.otavio.vieira@3dmaker.com.br;MhRdBdnjNq;58088-700;Rua Antônio Gouveia Henrique;912;Oitizeiro;João Pessoa;PB;(83) 2584-2084;(83) 98477-7164;1.64;95.0;A+;azul;
737;Alexandre Otávio Thiago Vieira;56;728.893.576-00;18.977.936-6;02/02/1967;Masculino;Aquário;Clarice Maya Isabella;Renato Breno Nicolas Vieira;alexandre.otavio.vieira@3dmaker.com.br;MhRdBdnjNq;58088-700;Rua Antônio Gouveia Henrique;912;Oitizeiro;João Pessoa;PB;(83) 2584-2084;(83) 98477-7164;1.64;95.0;A+;azul;
947;Alexandre Otávio Thiago Vieira;56;728.893.576-00;18.977.936-6;02/02/1967;Masculino;Aquário;Clarice Maya Isabella;Renato Breno Nicolas Vieira;alexandre.otavio.vieira@3dmaker.com.br;MhRdBdnjNq;58088-700;Rua Antônio Gouveia Henrique;912;Oitizeiro;João Pessoa;PB;(83) 2584-2084;(83) 98477-7164;1.64;95.0;A+;azul;
1157;Alexandre Otávio Thiago Vieira;56;728.893.576-00;18.977.936-6;02/02/1967;Masculino;Aquário;Clarice Maya Isabella;Renato Breno Nicolas Vieira;alexandre.otavio.vieira@3dmaker.com.br;MhRdBdnjNq;58088-700;Rua Antônio Gouveia Henrique;912;Oitizeiro;João Pessoa;PB;(83) 2584-2084;(83) 98477-7164;1.64;95.0;A+;azul;
1367;Alexandre Otávio Thiago Vieira;56;728.893.576-00;18.977.936-6;02/02/1967;Masculino;Aquário;Clarice Maya Isabella;Renato Breno Nicolas Vieira;alexandre.otavio.vieira@3dmaker.com.br;MhRdBdnjNq;58088-700;Rua Antônio Gouveia Henrique;912;Oitizeiro;João Pessoa;PB;(83) 2584-2084;(83) 98477-7164;1.64;95.0;A+;azul;
1579;Alexandre Otávio Thiago Vieira;56;728.893.576-00;18.977.936-6;02/02/1967;Masculino;Aquário;Clarice Maya Isabella;Renato Breno Nicolas Vieira;alexandre.otavio.vieira@3dmaker.com.br;MhRdBdnjNq;58088-700;Rua Antônio Gouveia Henrique;912;Oitizeiro;João Pessoa;PB;(83) 2584-2084;(83) 98477-7164;1.64;95.0;A+;azul;
1789;Alexandre Otávio Thiago Vieira;56;728.893.576-00;18.977.936-6;02/02/1967;Masculino;Aquário;Clarice Maya Isabella;Renato Breno Nicolas Vieira;alexandre.otavio.vieira@3dmaker.com.br;MhRdBdnjNq;58088-700;Rua Antônio Gouveia Henrique;912;Oitizeiro;João Pessoa;PB;(83) 2584-2084;(83) 98477-7164;1.64;95.0;A+;azul;
1999;Alexandre Otávio Thiago Vieira;56;728.893.576-00;18.977.936-6;02/02/1967;Masculino;Aquário;Clarice Maya Isabella;Renato Breno Nicolas Vieira;alexandre.otavio.vieira@3dmaker.com.br;MhRdBdnjNq;58088-700;Rua Antônio Gouveia Henrique;912;Oitizeiro;João Pessoa;PB;(83) 2584-2084;(83) 98477-7164;1.64;95.0;A+;azul;
2209;Alexandre Otávio Thiago Vieira;56;728.893.576-00;18.977.936-6;02/02/1967;Masculino;Aquário;Clarice Maya Isabella;Renato Breno Nicolas Vieira;alexandre.otavio.vieira@3dmaker.com.br;MhRdBdnjNq;58088-700;Rua Antônio Gouveia Henrique;912;Oitizeiro;João Pessoa;PB;(83) 2584-2084;(83) 98477-7164;1.64;95.0;A+;azul;
